node.uuid,node.estimated_first,node.estimated_last
c6f6f1e7-9941-d158-4179-eef7b43e7be3,01/01/2014 14:00:00.118603008.0,01/01/2014 14:00:00.0000000.0
0710f049-7716-4730-cb77-43bb40b74962,07/03/2021 10:25:12.0807168.0,07/03/2021 10:25:12.0000000.0
d7690903-7678-d519-77a0-99773f1df4db,29/03/2021 00:55:33.886600192.0,29/03/2021 00:55:32.0000000.0
9227e993-ceeb-083f-ef75-d2c937c84518,29/03/2021 00:21:48.809857280.0,29/03/2021 00:21:47.0000000.0
33ce711a-5d01-583b-fe8a-ca9a48a8a9c2,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
63102afa-669d-6c2e-1bc6-1eed13e5cc76,29/03/2021 01:09:21.636683520.0,29/03/2021 01:09:20.0000000.0
3c272388-8044-93fb-c331-68094906caf0,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
ef470b0d-df7a-66ba-5c80-83f11e3a4804,02/06/2016 12:30:00.389137408.0,02/06/2016 12:30:00.0000000.0
5b871c82-5af3-3d1d-65a4-4d87ef3e9131,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
02cb94ca-2796-9d2f-b957-6f80306aae82,29/03/2021 01:09:22.928563712.0,29/03/2021 01:09:21.0000000.0
4d6b7e11-63ad-c468-d046-8b858f46f3f1,13/03/2021 04:09:08.335562496.0,13/03/2021 04:09:08.335562496.0
bdfda0cc-4085-7cb4-3d08-25ebeadf02b6,29/03/2021 01:09:20.441407232.0,29/03/2021 01:09:20.0000000.0
757197ed-ce78-4384-14e5-aa77ae60e5bc,29/03/2021 01:04:14.313750016.0,30/03/2021 00:33:18.26437632.0
2389dd09-5a0b-57bd-affc-ad545075b89a,29/03/2021 01:09:24.766269440.0,29/03/2021 01:09:59.0000000.0
629aed02-fc9e-6815-3ca8-40f617f83ac2,29/03/2021 01:09:22.448410624.0,29/03/2021 01:09:22.0000000.0
ac51ea57-21eb-70ec-1a7c-5c5f501927e7,29/03/2021 01:09:25.803510528.0,29/03/2021 01:10:00.0000000.0
ecb482a4-a525-1b84-eb01-d3789378ba81,01/01/2016 01:00:00.266266624.0,01/01/2016 01:00:00.0000000.0
4910e279-adb3-929b-aec3-5665829744f8,29/03/2021 01:09:24.75082240.0,29/03/2021 01:09:59.0000000.0
8472a3f5-eb22-db84-4f9f-5ef6dfdfb11b,29/03/2021 01:04:15.506749696.0,29/03/2021 01:04:14.0000000.0
a70c9b3e-c240-0feb-d84a-bb1128922278,29/03/2021 01:09:27.514606336.0,29/03/2021 01:10:01.0000000.0
92f5c3ed-e2a4-3fba-5a18-507f8d9d2c61,29/03/2021 01:09:25.331894272.0,29/03/2021 01:10:00.0000000.0
3964b15d-8dd1-ac82-ce10-181a6ea8bdda,29/03/2021 01:10:03.533600256.0,29/03/2021 01:10:02.0000000.0
061cd34a-09c0-4567-9b52-9a76530e7c7c,29/03/2021 01:09:26.285014528.0,29/03/2021 01:10:02.0000000.0
cb40e4a0-a436-db4d-e11f-4e8ff2a005c1,29/03/2021 01:42:05.606240768.0,29/03/2021 01:42:32.0000000.0
32764602-9014-c707-7b60-f5ccd18c5006,29/03/2021 01:09:25.787696896.0,29/03/2021 01:09:59.0000000.0
6f5db6c3-68c7-b70f-0a06-673982471b0c,29/03/2021 00:47:25.38799616.0,29/03/2021 00:47:25.0000000.0
1e13787d-9c6a-5c2b-2793-15ffc256645c,29/03/2021 00:47:26.822815232.0,29/03/2021 00:47:25.0000000.0
9a9f3fa7-9c0c-9a6d-d0cd-2c777c140acb,29/03/2021 01:09:27.820414208.0,29/03/2021 01:09:26.0000000.0
d4d15a2b-3db3-779c-1be8-30767783597f,29/03/2021 00:51:39.788028416.0,29/03/2021 01:18:11.0000000.0
bb9c0d15-7f05-1a43-ad7e-8892712c0517,29/03/2021 01:42:05.920350208.0,29/03/2021 01:42:33.0000000.0
1b49223d-2fd0-e9dd-edab-d4a5701dcdf0,29/03/2021 00:34:32.727874304.0,29/03/2021 00:51:38.0000000.0
c0978ba8-3af2-a662-cd83-8b53256399d9,29/03/2021 01:09:20.450303488.0,29/03/2021 01:09:20.0000000.0
f0266f81-3ed9-b362-9e0b-f9ab36334cd2,29/03/2021 01:09:22.965864960.0,29/03/2021 01:09:21.0000000.0
719e7984-2b6c-17a9-faf8-cf98881a6817,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
d616a4ee-45f4-ab69-cf33-d3defdd2d601,29/03/2021 01:09:21.865521152.0,29/03/2021 01:09:20.0000000.0
faebed91-f43c-d009-14d7-bc066beacc5f,29/03/2021 01:09:25.252121344.0,29/03/2021 01:10:01.0000000.0
52addf67-9be3-8d40-b8e8-5d963205b5c6,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
ef7dbd1c-e371-1bba-adf7-7a222592d233,29/03/2021 01:42:14.379898624.0,29/03/2021 01:42:33.0000000.0
bbf4d941-1b88-0a28-dd67-b2dcfc2c6d56,28/03/2021 21:11:01.110720000.0,28/03/2021 21:11:01.0000000.0
12101518-dfba-8291-fdc8-75f1d01bdbab,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
33951026-68db-30a8-13c5-01ea03e432e0,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
0bfc7c7d-89af-8fdc-c0fb-d8e736ff27b5,29/03/2021 00:51:39.657535232.0,29/03/2021 00:51:38.0000000.0
467184d3-df40-3750-9b42-218f6a7600fe,29/03/2021 01:09:19.407638272.0,29/03/2021 01:09:19.0000000.0
d92cfdd1-a152-f306-3cb1-3eb925500a19,29/03/2021 00:47:26.588538112.0,29/03/2021 01:18:11.0000000.0
d1a51537-e38b-a4a3-8328-b2ab8036e81a,28/03/2021 21:19:21.505440256.0,29/03/2021 01:35:29.0000000.0
f0466842-acde-16ca-5836-ee6f6e8acd14,29/03/2021 01:09:23.610059008.0,29/03/2021 01:09:22.0000000.0
25a09c1b-5a96-6cbc-ebc2-616c58be2e04,29/03/2021 01:09:27.624506112.0,29/03/2021 01:10:02.0000000.0
b1c26636-3118-201b-acb6-d7a572776cad,29/03/2021 00:45:28.832826112.0,30/03/2021 00:33:18.26437632.0
2b18d614-ca4e-a97d-d9f7-c1c6a4d96c04,29/03/2021 01:09:19.283940608.0,29/03/2021 01:09:19.0000000.0
7c5bb6bf-d876-cb90-9a86-e0737645f698,29/03/2021 00:51:38.577341696.0,29/03/2021 00:51:37.0000000.0
e589ea2d-a429-34eb-3e53-887080d42f8d,28/03/2021 21:11:02.771798784.0,28/03/2021 21:11:01.0000000.0
e1d4750d-7806-7f6c-22ec-3150cfe5f8d3,29/03/2021 00:51:36.281857792.0,29/03/2021 00:51:36.0000000.0
01fc36fd-c42c-f7ce-9a30-f5101c4278fc,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
8b125f99-d48b-f406-451f-d064bd9ca5dd,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
2700698f-86b4-9e1a-2cb7-d12d0ee3287f,29/03/2021 00:51:37.119294976.0,29/03/2021 00:51:37.0000000.0
3b547f07-3c2c-0f23-792c-4ecd6688d650,29/03/2021 01:09:22.522650624.0,29/03/2021 01:09:21.0000000.0
fde4f75a-ecf3-eabe-8581-b2a140a7b425,29/03/2021 00:23:35.262327296.0,29/03/2021 01:42:14.0000000.0
cca34fe9-df93-1a23-d664-bdfdb228b8a6,29/03/2021 01:09:21.178647296.0,29/03/2021 01:09:21.0000000.0
7db913e2-54f8-49c6-694e-0304bf3d5de5,29/03/2021 00:51:37.396182528.0,29/03/2021 00:51:37.0000000.0
f2a73129-4368-c7c4-7e16-ef454add4711,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
80ace13c-771f-a7bb-713f-6bca9a63d2b2,29/03/2021 01:09:22.208590848.0,29/03/2021 01:09:58.0000000.0
7c0132d5-511e-f295-7e38-a1caf19b42e4,13/03/2021 04:09:08.335562496.0,28/03/2021 00:52:11.74395392.0
2013cff4-ef86-615b-8fd4-40d74ab9832d,29/03/2021 01:09:24.103681536.0,29/03/2021 01:10:00.0000000.0
47bb962b-249a-72d3-3d96-8245c8d8501e,29/03/2021 00:47:26.531037184.0,29/03/2021 00:47:25.0000000.0
62b05625-2df6-ec12-1f0a-5118fb864104,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
ce2976c5-c466-0ede-53e7-a5f50d9d3a70,29/03/2021 01:09:25.183458304.0,29/03/2021 01:10:01.0000000.0
6271c7a6-c62f-d1c4-c76c-aa280aabf0d2,29/03/2021 01:23:51.291064832.0,29/03/2021 01:26:36.0000000.0
a5e9110e-9218-286e-a7c3-95e430e11ba6,29/03/2021 01:09:26.544091136.0,29/03/2021 01:10:01.0000000.0
2004a4c6-e47b-dded-0f1b-bf55eb520a55,29/03/2021 01:09:24.149457920.0,29/03/2021 01:09:59.0000000.0
8558521d-e996-0204-420c-23752f7a3190,29/03/2021 01:19:54.264355840.0,29/03/2021 01:19:54.0000000.0
2f60e497-5752-bdff-584f-f6a26c5f5d58,29/03/2021 00:44:13.65692160.0,30/03/2021 00:33:18.26437632.0
4a3fd41d-de76-ed8e-5b50-b5c418e5011e,29/03/2021 01:09:20.464075264.0,29/03/2021 01:09:20.0000000.0
ba82297d-1551-6ddb-1e32-7b233addd06d,29/03/2021 01:09:26.690828544.0,29/03/2021 01:10:00.0000000.0
89f3556b-6f98-bb0c-45c1-4c5361bfc83b,29/03/2021 01:09:24.884867328.0,29/03/2021 01:09:58.0000000.0
20a3483d-7320-9148-e73d-c38f2b68c84a,29/03/2021 01:09:20.893921280.0,29/03/2021 01:09:19.0000000.0
db33f89a-ac53-5444-c3e0-ddf348dc1855,28/03/2021 11:00:01.678275840.0,30/03/2021 00:33:18.26437632.0
c487e778-efc1-e592-43d8-6060199cdc80,29/03/2021 01:09:26.807022080.0,29/03/2021 01:10:00.0000000.0
282bf08e-c588-d364-99bf-6f6939321584,29/03/2021 01:09:24.316928000.0,29/03/2021 01:09:59.0000000.0
e3ab7413-7ae5-c363-409d-9648bee9a82a,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
57602b73-9d9f-8268-9623-95c99c567eb6,29/03/2021 01:09:24.994227712.0,29/03/2021 01:09:59.0000000.0
461a8cb8-4b61-f85e-fb5b-8d14c9711015,29/03/2021 01:09:18.164887552.0,30/03/2021 00:33:18.26437632.0
3def6424-9471-6b6e-9298-c47836bb8078,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
2dfda58c-d99b-d7c2-738d-6e702090e04b,29/03/2021 01:49:06.765281792.0,30/03/2021 00:33:18.26437632.0
8b952612-0af0-f086-5b28-b94ed9a4c55d,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
ba7205ae-1855-c8fa-4bf6-74f42a4785d7,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
ad7744e5-2643-c26f-b079-898a8c5c36c8,29/03/2021 01:49:06.748288000.0,30/03/2021 00:33:18.26437632.0
ac8e127f-c181-eb35-9340-a052eb52d4f6,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
10e13c04-44a1-dde0-9c99-6aba14f27d12,29/03/2021 01:09:22.841533440.0,29/03/2021 01:09:21.0000000.0
d9b30649-62bc-5bfd-185e-ee50622ba00c,29/03/2021 01:14:10.251724032.0,30/03/2021 00:33:18.26437632.0
3dff131c-cfab-249b-9712-12975c0cf67f,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
a91d6619-43e3-3680-804a-2317003fd2d7,29/03/2021 01:04:15.508435968.0,29/03/2021 01:04:14.0000000.0
9409514c-2622-a1fb-d4de-dde1e7635748,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
95b41cb6-a0f7-1c02-216f-b870bbcbb4fc,01/01/2000 04:58:13.665147776.0,01/01/2000 04:58:12.0000000.0
fdad36bf-72d5-dc8a-1218-7911ecd01269,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
d9ad2cf2-e161-7270-556b-333f84167cfb,29/03/2021 01:09:21.620461568.0,29/03/2021 01:09:20.0000000.0
5d40f1de-1a22-0273-b506-4094af4331db,29/03/2021 00:51:36.291136768.0,29/03/2021 01:42:33.0000000.0
1ed298e1-43ad-0955-c018-2ad81e1e153f,29/03/2021 01:42:14.785931008.0,29/03/2021 01:42:33.0000000.0
0e1013e5-befd-2cc9-4ca9-7c2a0723f1bd,06/03/2020 18:06:46.350992384.0,06/03/2020 18:06:46.350992384.0
00d0531a-16c4-bba1-6a3a-3b951bb8271b,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
b1690333-2fd5-2dfd-c24b-32863b7addab,29/03/2021 01:09:24.280089088.0,29/03/2021 01:09:59.0000000.0
bd79337d-89c1-13ee-4859-ef6cb19dbdd4,29/03/2021 01:09:23.970187520.0,29/03/2021 01:09:22.0000000.0
5b2ae4ce-5843-0343-5222-16bc4b40c89b,29/03/2021 01:09:23.164933120.0,29/03/2021 01:09:58.0000000.0
597952db-81a2-629c-6959-3046004f4cbd,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
65d11bcf-c273-ffe6-b0c0-dbbd0c5b2299,29/03/2021 01:09:24.750321152.0,29/03/2021 01:09:59.0000000.0
b296ee9c-e921-1b36-57c5-764988c0e6d3,29/03/2021 00:47:26.718061824.0,29/03/2021 00:47:25.0000000.0
d6984097-ed5b-7159-d510-8ad3eb4ef972,29/03/2021 01:02:17.964845824.0,30/03/2021 00:33:18.26437632.0
bf5857cd-0619-33a2-ed6f-93a17865c1fc,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
4cf326e5-66d0-8f84-3f5a-76455dfc9797,28/03/2021 21:11:01.247736832.0,28/03/2021 21:11:01.0000000.0
ad238ef7-af6b-4efe-1bc2-3bf0e446d551,29/03/2021 01:09:23.630998272.0,29/03/2021 01:09:22.0000000.0
be002634-1246-a24c-da1e-c40cb95e505b,29/03/2021 01:09:20.60222976.0,29/03/2021 01:09:20.0000000.0
c095cab7-4b11-21a7-666e-8442f273a5fd,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
12d4ce88-022d-5352-2a5a-d1a48a2d5584,29/03/2021 00:51:37.995795200.0,29/03/2021 00:51:36.0000000.0
19f2ac8a-4973-8ae5-779d-3c5a09071525,29/03/2021 01:09:22.1094400.0,29/03/2021 01:09:22.0000000.0
90cbc560-49aa-c6fd-870b-2732d05d72be,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
16df32dd-cca5-473f-f2cc-010bd14a15fd,29/03/2021 01:09:25.201527808.0,29/03/2021 01:10:00.0000000.0
0a7e69b6-e896-f333-a79f-2f550ca21e39,29/03/2021 01:09:26.207279360.0,29/03/2021 01:10:01.0000000.0
6ae6c974-69e1-51f2-891f-ef634bb4b0f7,29/03/2021 00:51:39.640577536.0,29/03/2021 01:18:11.0000000.0
aed87750-82d5-a308-a889-078a336e666e,29/03/2021 01:09:25.79054592.0,29/03/2021 01:10:00.0000000.0
becd1adc-1e7f-63e3-df32-610707be9398,29/03/2021 00:45:18.16789248.0,29/03/2021 01:04:05.0000000.0
462d74a8-2f6f-61e0-5408-7e5d28d8f069,28/03/2021 21:19:09.934956288.0,29/03/2021 01:42:32.0000000.0
4b2d0378-f311-fd05-ae30-2d8a237abe40,29/03/2021 00:47:25.177268480.0,29/03/2021 00:47:25.0000000.0
84a4b49b-db54-40a7-47ab-2788ff13abe8,29/03/2021 00:23:35.349885184.0,29/03/2021 01:42:14.0000000.0
d497d12d-036e-f318-a63c-1120d196a18d,29/03/2021 00:47:18.470410752.0,29/03/2021 00:47:18.0000000.0
ba370d1c-4ee7-69e3-d40f-0e4540d9ac7a,29/03/2021 01:09:21.424929024.0,29/03/2021 01:09:21.0000000.0
1df5f389-7e51-19b6-c05e-a230c3cfb528,29/03/2021 00:51:39.875851008.0,29/03/2021 00:51:38.0000000.0
37c6078b-868b-c226-f0c7-7e6de3e3a62f,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
92363ea7-72e5-1f97-266d-64f16c74d0b4,29/03/2021 01:49:06.775284736.0,30/03/2021 00:33:18.26437632.0
4048fe63-5e5d-ed03-e95a-37babb2cbed6,29/03/2021 01:09:26.214609408.0,29/03/2021 01:10:01.0000000.0
4503e0a1-2b8b-2f0f-ca97-4926599bcf47,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
639f149d-668c-eb89-3a46-d235984e6a47,29/03/2021 01:09:27.729952256.0,29/03/2021 01:10:01.0000000.0
64603ccf-023e-e6b8-b42c-181845e30ed0,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
4df05be5-7961-a601-1b2e-837d18a58af4,29/03/2021 01:09:27.910272256.0,29/03/2021 01:10:01.0000000.0
86af4178-4a4d-5a33-dc68-0d5dd3c53c1a,29/03/2021 00:57:15.90877952.0,30/03/2021 00:33:18.26437632.0
acaeadc2-dcca-35bc-cc69-07b6a7abbaf0,29/03/2021 01:09:23.387150080.0,29/03/2021 01:09:59.0000000.0
40ec598b-2c68-0a86-9721-86ac65c6a612,29/03/2021 01:09:26.818534912.0,29/03/2021 01:10:00.0000000.0
1da33096-ec56-2097-a016-32a90fad0a97,29/03/2021 01:33:08.571363840.0,29/03/2021 01:35:29.0000000.0
e9e9c3a3-2918-5694-6808-23ee2e2f5c3d,28/03/2021 21:19:09.768550656.0,29/03/2021 01:42:33.0000000.0
